"productCode","name","price","description","imageURL","unit","Category code","Group code"
"","PEYMAN FARA KUNGULL 110GR",275,"PEYMAN FARA KUNGULL 110GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM22222.jpg","cope","",""
"","PEYMAN FARA LULEDIELLI KLASIK 78GR",55,"PEYMAN FARA LULEDIELLI KLASIK 78GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/KLASIK.jpg","cope","",""
"","PEYMAN FARA LULEDIELLI ME KRIPE 80 GR (2 COPE)",149,"PEYMAN FARA LULEDIELLI ME KRIPE 80 GR (2 COPE)","https://bli.ecomarket.al/wp-content/uploads/2021/02/SM29655.jpg","cope","",""
"","PEYMAN FARA LULEDIELLI TAKO 78GR",55,"PEYMAN FARA LULEDIELLI TAKO 78GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm06540.jpg","cope","",""
"","PEYMAN FARA LULEDIELLI TE KRIPOSURA 45GR",55,"PEYMAN FARA LULEDIELLI TE KRIPOSURA 45GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM06539.png","cope","",""
"","PEYMAN FARA TAKO 90GR",109,"PEYMAN FARA TAKO 90GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM22218.png","cope","",""
"","PEYMAN KAJSI TE THATA 200GR",299,"PEYMAN KAJSI TE THATA 200GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM06547.jpg","cope","",""
"","PEYMAN KLASIK MIX 150GR",409,"PEYMAN KLASIK MIX 150GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM26240.jpg","cope","",""
"","PEYMAN KUMBULL E THATE 150GR",319,"PEYMAN KUMBULL E THATE 150GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm06550.jpg","cope","",""
"","PEYMAN LAJTHI ME KRIPE 110GR",479,"PEYMAN LAJTHI ME KRIPE 110GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM24401.jpg","cope","",""
"","PEYMAN MISER 125GR",109,"PEYMAN MISER 125GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM06542.png","cope","",""
